pub_ID,sp_name,polymer,size_um_mean,size_um_SD,size_nm_mean,size_nm_SD,particles_per_mg,shape,biodegradable.y.n,color,fluorescence,modified,mod_type,surface_charge,surfactant,abiotic_env,biotic_env,milled,weathered,density_gcm-3,excitation_nm,emission_nm,company,MP_comments,age_d,generation,food_source,food_present,temperature,DOC_added,DOC_type,other_added,other_type,exp_time_h,exp_time_d,conc_p_ml-1,conc_mg_l-1,endpoint,comment_endpoint,c_n_replicates,c_mean,c_SD,c_SE,c_ind_per_replicate,c_n_individuals,t_n_replicates,t_mean,t_SD,t_SE,t_ind_per_replicate,t_n_individuals,data_comment
Ekvall2022,Daphnia magna,HDPE,0.0030,NA,3.0000,NA,NA,fragments,no,NA,no,no,NA,NA,no,no,no,yes,no,0.97,NA,NA,NA,from packaging material (Fill-Air Extreme from SealedAir Product care) / smaller than 3 nm,0,0,Scenedesmus sp. ,yes,18,no,NA,no,NA,504,21,3.28E+07,,neonates/adult,,20,10.6,6.11,NA,1,20,20,12.6,10,NA,1,20,treatment FT from raw data until day 21 (concentration is 1%)
Pikuda2022,Daphnia magna,PS,0.0200,NA,20.0000,NA,NA,spherical,no,NA,yes,no,NA,NA,no,no,no,no,no,NA,505,515,ThermoFisher,,0,0,Chlamydomonas reinhardtii and YCT,yes,20,NA,NA,NA,NA,504,21,8.50E+09,1.00E-01,neonates/adult,,10,33.20,10.30,NA,1,10,10,33.60,9.80,NA,1,10,Data extracted from table 1; control and 20 nm (0.1 mg/L) treatment
Pikuda2022,Daphnia magna,PS,0.0200,NA,20.0000,NA,NA,spherical,no,NA,yes,no,NA,NA,no,no,no,no,no,NA,505,515,ThermoFisher,,0,0,Chlamydomonas reinhardtii and YCT,yes,20,NA,NA,NA,NA,504,21,4.60E+12,5.00E+01,neonates/adult,,10,33.20,10.30,NA,1,10,10,26.10,7.50,NA,1,10,Data extracted from table 1; control and 20 nm (50 mg/L) treatment
Kelpsiene2020,Daphnia magna,PS,0.0261,1.65E-03,26.0500,1.65E+00,NA,spherical,no,NA,no,yes,carboxylated,negative,no,no,no,no,no,NA,NA,NA,Bangs Laboratories,size from table S7,3.5,0,Scenedesmus sp. ,yes,18,no,NA,no,NA,504,21,3.31E+09,0.32,neonates/adult,,10,21.34,9.79,NA,1,10,10,24.8,7.27,NA,1,10,cumulative of 21 days from table S2; Total SD= √(SD1^2)+(SD2^2)+⋯+(SDn^2)
Kelpsiene2020,Daphnia magna,PS,0.0261,1.65E-03,26.0500,1.65E+00,NA,spherical,no,NA,no,yes,carboxylated,negative,no,no,no,no,no,NA,NA,NA,Bangs Laboratories,size from table S8,3.5,0,Scenedesmus sp. ,yes,18,no,NA,no,NA,504,21,NA,3.2,neonates/adult,,10,21.34,9.79,NA,1,10,10,19.56,8.53,NA,1,10,cumulative of 21 days from table S2; Total SD= √(SD1^2)+(SD2^2)+⋯+(SDn^2)
Monikh2022,Daphnia magna,PP,0.0500,NA,50.0000,NA,NA,spherical,no,NA,no,no,NA,NA,no,no,no,no,no,NA,NA,NA,CD-bioparticles,,0,0,NA,yes,20,no,NA,no,NA,504,21,3.00E+07,0.00022,neonates/adult,,10,230,26.81,NA,1,10,10,259,23.15,NA,1,10,calculated from table 2; Total SD= √(SD1^2)+(SD2^2)+⋯+(SDn^2)
Monikh2022,Daphnia magna,PE,0.0500,NA,50.0000,NA,NA,spherical,no,NA,no,no,NA,NA,no,no,no,no,no,NA,NA,NA,CD-bioparticles,,0,0,NA,yes,20,no,NA,no,NA,504,21,3.00E+07,0.00025,neonates/adult,,10,230,26.81,NA,1,10,10,191,13.63,NA,1,10,calculated from table 2; Total SD= √(SD1^2)+(SD2^2)+⋯+(SDn^2)
Sanpradit2024,Daphnia magna,PS,0.0500,NA,50.0000,NA,NA,spherical,no,NA,yes,no,NA,NA,no,no,no,no,no,NA,NA,NA,"Polysciences (Warrington, PA, USA) ",,0,0,Chlorella vulgaris,yes,23,NA,NA,NA,NA,504,21,NA,1.00E+00,neonates/adult,,10,85.23,8.57,2.71,1,10,10,63.33,10.00,3.16,1,10,Data extracted from Fig. 3E with metaDigitise
Sanpradit2024,Daphnia magna,PS,0.0500,NA,50.0000,NA,NA,spherical,no,NA,yes,no,NA,NA,no,no,no,no,no,NA,NA,NA,"Polysciences (Warrington, PA, USA) ",,0,0,Chlorella vulgaris,yes,28,NA,NA,NA,NA,504,21,NA,1.00E+00,neonates/adult,,10,36.19,9.04,2.86,1,10,10,25.23,11.42,3.61,1,10,Data extracted from Fig. 3E with metaDigitise
Sanpradit2024,Daphnia magna,PS,0.0500,NA,50.0000,NA,NA,spherical,no,NA,yes,no,NA,NA,no,no,no,no,no,NA,NA,NA,"Polysciences (Warrington, PA, USA) ",,0,0,Chlorella vulgaris,yes,23,NA,NA,NA,NA,504,21,NA,2.00E+00,neonates/adult,,10,85.23,8.57,2.71,1,10,10,46.66,18.09,5.72,1,10,Data extracted from Fig. 3E with metaDigitise
Sanpradit2024,Daphnia magna,PS,0.0500,NA,50.0000,NA,NA,spherical,no,NA,yes,no,NA,NA,no,no,no,no,no,NA,NA,NA,"Polysciences (Warrington, PA, USA) ",,0,0,Chlorella vulgaris,yes,28,NA,NA,NA,NA,504,21,NA,2.00E+00,neonates/adult,,10,36.19,9.04,2.86,1,10,10,26.66,6.19,1.95,1,10,Data extracted from Fig. 3E with metaDigitise
Kelpsiene2020,Daphnia magna,PS,0.0501,4.19E-03,50.1200,4.19E+00,NA,spherical,no,NA,no,yes,aminated,positive,no,no,no,no,no,NA,NA,NA,Bangs Laboratories,"size from table S4, alge from table S5 at day 0",3.5,0,Scenedesmus sp. ,yes,18,no,NA,no,NA,504,21,NA,0.0032,neonates/adult,,10,21.34,9.79,NA,1,10,10,16.51,9.55,NA,1,10,cumulative of 21 days from table S2; Total SD= √(SD1^2)+(SD2^2)+⋯+(SDn^2)
Kelpsiene2020,Daphnia magna,PS,0.0501,4.19E-03,50.1200,4.19E+00,NA,spherical,no,NA,no,yes,aminated,positive,no,no,no,no,no,NA,NA,NA,Bangs Laboratories,size from table S5,3.5,0,Scenedesmus sp. ,yes,18,no,NA,no,NA,504,21,NA,0.032,neonates/adult,,10,21.34,9.79,NA,1,10,10,21.18,9.3,NA,1,10,cumulative of 21 days from table S2; Total SD= √(SD1^2)+(SD2^2)+⋯+(SDn^2)
Kelpsiene2020,Daphnia magna,PS,0.0501,4.19E-03,50.1200,4.19E+00,NA,spherical,no,NA,no,yes,aminated,positive,no,no,no,no,no,NA,NA,NA,Bangs Laboratories,size from table S6,3.5,0,Scenedesmus sp. ,yes,18,no,NA,no,NA,504,21,3.91E+09,0.32,neonates/adult,,10,21.34,9.79,NA,1,10,10,22.85,10.13,NA,1,10,cumulative of 21 days from table S2; Total SD= √(SD1^2)+(SD2^2)+⋯+(SDn^2)
Kelpsiene2020,Daphnia magna,PS,0.0582,1.40E-04,58.1900,1.40E-01,NA,spherical,no,NA,no,yes,carboxylated,negative,no,no,no,no,no,NA,NA,NA,Bangs Laboratories,size from table S9,3.5,0,Scenedesmus sp. ,yes,18,no,NA,no,NA,504,21,2.44E+09,0.32,neonates/adult,,10,21.34,9.79,NA,1,10,10,23.3,9.08,NA,1,10,cumulative of 21 days from table S2; Total SD= √(SD1^2)+(SD2^2)+⋯+(SDn^2)
Kelpsiene2020,Daphnia magna,PS,0.0582,1.40E-04,58.1900,1.40E-01,NA,spherical,no,NA,no,yes,carboxylated,negative,no,no,no,no,no,NA,NA,NA,Bangs Laboratories,size from table S10,3.5,0,Scenedesmus sp. ,yes,18,no,NA,no,NA,504,21,NA,0.76,neonates/adult,,10,21.34,9.79,NA,1,10,10,19.67,8.64,NA,1,10,cumulative of 21 days from table S2; Total SD= √(SD1^2)+(SD2^2)+⋯+(SDn^2)
Kelpsiene2020,Daphnia magna,PS,0.0582,1.40E-04,58.1900,1.40E-01,NA,spherical,no,NA,no,yes,carboxylated,negative,no,no,no,no,no,NA,NA,NA,Bangs Laboratories,size from table S11,3.5,0,Scenedesmus sp. ,yes,18,no,NA,no,NA,504,21,NA,3.2,neonates/adult,,10,21.34,9.79,NA,1,10,10,23.25,12.87,NA,1,10,cumulative of 21 days from table S2; Total SD= √(SD1^2)+(SD2^2)+⋯+(SDn^2)
Kelpsiene2020,Daphnia magna,PS,0.0582,1.40E-04,58.1900,1.40E-01,NA,spherical,no,NA,no,yes,carboxylated,negative,no,no,no,no,no,NA,NA,NA,Bangs Laboratories,size from table S12,3.5,0,Scenedesmus sp. ,yes,18,no,NA,no,NA,504,21,NA,7.6,neonates/adult,,10,21.34,9.79,NA,1,10,10,18.83,9.96,NA,1,10,cumulative of 21 days from table S2; Total SD= √(SD1^2)+(SD2^2)+⋯+(SDn^2)
Besseling2014,Daphnia magna,PS,0.0700,NA,70.0000,NA,NA,spherical,no,nile red,yes,yes,carboxylated,negative,yes,no,no,no,no,NA,NA,NA,"AVT-PCC, Wageningen",pristine ,0,0,Scenedesmus obliquus ,yes,21,no,NA,no,NA,504,21,NA,0.22,neonates/adult,"text mentions total number of offspring in first 3 broods, but figure shows total number of offspring (21 days)",16,60.49,4.49,1.12,1,16,12,56.7,8.75,2.52,1,12,extracted from Fig. 3B  with Metadigitise; plot shows SE as deviation metric
Besseling2014,Daphnia magna,PS,0.0700,NA,70.0000,NA,NA,spherical,no,nile red,yes,yes,carboxylated,negative,yes,no,no,no,no,NA,NA,NA,"AVT-PCC, Wageningen",pristine ,0,0,Scenedesmus obliquus ,yes,21,no,NA,no,NA,504,21,NA,0.44,neonates/adult,"text mentions total number of offspring in first 3 broods, but figure shows total number of offspring (21 days)",16,60.49,4.49,1.12,1,16,12,62.17,3.4,0.98,1,12,extracted from Fig. 3B  with Metadigitise; plot shows SE as deviation metric
Besseling2014,Daphnia magna,PS,0.0700,NA,70.0000,NA,NA,spherical,no,nile red,yes,yes,carboxylated,negative,yes,no,no,no,no,NA,NA,NA,"AVT-PCC, Wageningen",pristine ,0,0,Scenedesmus obliquus ,yes,21,no,NA,no,NA,504,21,NA,0.88,neonates/adult,"text mentions total number of offspring in first 3 broods, but figure shows total number of offspring (21 days)",16,60.49,4.49,1.12,1,16,12,65.26,2.91,0.81,1,12,extracted from Fig. 3B  with Metadigitise; plot shows SE as deviation metric
Besseling2014,Daphnia magna,PS,0.0700,NA,70.0000,NA,NA,spherical,no,nile red,yes,yes,carboxylated,negative,yes,no,no,no,no,NA,NA,NA,"AVT-PCC, Wageningen",pristine-kairomone ,0,0,Scenedesmus obliquus ,yes,21,yes,fish conditioned media,yes,kairomone,504,21,NA,0.88,neonates/adult,"text mentions total number of offspring in first 3 broods, but figure shows total number of offspring (21 days)",12,74.94,5.34,1.54,1,12,12,74.66,10.69,3.08,1,12,extracted from Fig. 3B  with Metadigitise; plot shows SE as deviation metric
Besseling2014,Daphnia magna,PS,0.0700,NA,70.0000,NA,NA,spherical,no,nile red,yes,yes,carboxylated,negative,yes,no,no,no,no,NA,NA,NA,"AVT-PCC, Wageningen",pristine ,0,0,Scenedesmus obliquus ,yes,21,no,NA,no,NA,504,21,NA,1.8,neonates/adult,"text mentions total number of offspring in first 3 broods, but figure shows total number of offspring (21 days)",16,60.49,4.49,1.12,1,16,12,56.7,6.32,1.82,1,12,extracted from Fig. 3B  with Metadigitise; plot shows SE as deviation metric
Besseling2014,Daphnia magna,PS,0.0700,NA,70.0000,NA,NA,spherical,no,nile red,yes,yes,carboxylated,negative,yes,no,no,no,no,NA,NA,NA,"AVT-PCC, Wageningen",pristine-kairomone ,0,0,Scenedesmus obliquus ,yes,21,yes,fish conditioned media,yes,kairomone,504,21,NA,1.8,neonates/adult,"text mentions total number of offspring in first 3 broods, but figure shows total number of offspring (21 days)",12,74.94,5.34,1.54,1,12,12,68.63,7.29,2.1,1,12,extracted from Fig. 3B  with Metadigitise; plot shows SE as deviation metric
Besseling2014,Daphnia magna,PS,0.0700,NA,70.0000,NA,NA,spherical,no,nile red,yes,yes,carboxylated,negative,yes,no,no,no,no,NA,NA,NA,"AVT-PCC, Wageningen",pristine ,0,0,Scenedesmus obliquus ,yes,21,no,NA,no,NA,504,21,NA,3.5,neonates/adult,"text mentions total number of offspring in first 3 broods, but figure shows total number of offspring (21 days)",16,60.49,4.49,1.12,1,16,12,60.63,3.88,1.12,1,12,extracted from Fig. 3B  with Metadigitise; plot shows SE as deviation metric
Besseling2014,Daphnia magna,PS,0.0700,NA,70.0000,NA,NA,spherical,no,nile red,yes,yes,carboxylated,negative,yes,no,no,no,no,NA,NA,NA,"AVT-PCC, Wageningen",pristine ,0,0,Scenedesmus obliquus ,yes,21,no,NA,no,NA,504,21,NA,7,neonates/adult,"text mentions total number of offspring in first 3 broods, but figure shows total number of offspring (21 days)",16,60.49,4.49,1.12,1,16,12,57.96,5.34,1.54,1,12,extracted from Fig. 3B  with Metadigitise; plot shows SE as deviation metric
Besseling2014,Daphnia magna,PS,0.0700,NA,70.0000,NA,NA,spherical,no,nile red,yes,yes,carboxylated,negative,yes,no,no,no,no,NA,NA,NA,"AVT-PCC, Wageningen",pristine ,0,0,Scenedesmus obliquus ,yes,21,no,NA,no,NA,504,21,NA,14,neonates/adult,"text mentions total number of offspring in first 3 broods, but figure shows total number of offspring (21 days)",16,60.49,4.49,1.12,1,16,12,61.19,2.91,0.84,1,12,extracted from Fig. 3B  with Metadigitise; plot shows SE as deviation metric
Besseling2014,Daphnia magna,PS,0.0700,NA,70.0000,NA,NA,spherical,no,nile red,yes,yes,carboxylated,negative,yes,no,yes,no,no,NA,NA,NA,"AVT-PCC, Wageningen",aged-filtered treatment,0,0,Scenedesmus obliquus ,yes,21,no,NA,no,NA,504,21,NA,32,neonates/adult,"text mentions total number of offspring in first 3 broods, but figure shows total number of offspring (21 days)",16,60.49,4.49,1.12,1,16,12,45.47,30.62,8.84,1,12,extracted from Fig. 3B  with Metadigitise; plot shows SE as deviation metric
Besseling2014,Daphnia magna,PS,0.0700,NA,70.0000,NA,NA,spherical,no,nile red,yes,yes,carboxylated,negative,yes,no,no,no,no,NA,NA,NA,"AVT-PCC, Wageningen",pristine ,0,0,Scenedesmus obliquus ,yes,21,no,NA,no,NA,504,21,NA,70,neonates/adult,"text mentions total number of offspring in first 3 broods, but figure shows total number of offspring (21 days)",16,60.49,4.49,1.12,1,16,12,42.38,5.83,1.68,1,12,extracted from Fig. 3B  with Metadigitise; plot shows SE as deviation metric
Besseling2014,Daphnia magna,PS,0.0700,NA,70.0000,NA,NA,spherical,no,nile red,yes,yes,carboxylated,negative,yes,no,no,no,no,NA,NA,NA,"AVT-PCC, Wageningen",pristine ,0,0,Scenedesmus obliquus ,yes,21,no,NA,no,NA,504,21,NA,150,neonates/adult,"text mentions total number of offspring in first 3 broods, but figure shows total number of offspring (21 days)",16,60.49,4.49,1.12,1,16,12,49.96,7.29,2.1,1,12,extracted from Fig. 3B  with Metadigitise; plot shows SE as deviation metric
Lyu2022,Daphnia magna,PS,0.0700,NA,70.0000,NA,NA,spherical,no,NA,no,no,NA,NA,no,no,no,no,no,NA,NA,NA,"BaseLine ChromTech Research Centre, China; lot number 6-1-0007",,0,0,Pseudokirchneriella subcapitata ,yes,20,no,NA,no,NA,648,27,2.60E+07,1,neonates/adult,,4,15.45,3.1,1.55,5,20,4,12.8,0.84,0.42,5,20,raw data from author
